#P = 1, D = 1.89749, alpha = 0.8, beta = 0.3, mmax = 6
#Cycle center positions: x,y, cycle length: l
#x	y	l	error	maxix	minix	maxiy	miniy	maxjump_index	maxjump	numberofbandsvisited	min_index	max_index
-1.5625	2.22045e-16	1	0	-1.5625	-1.5625	2.22045e-16	2.22045e-16	0	0	1	-1	-1
6.9532e-310	6.9532e-310	1	0	-0	-0	0	0	0	0	1	0	0
1.5625	-2.22045e-16	1	0	1.5625	1.5625	-2.22045e-16	-2.22045e-16	0	0	1	1	1
-2.34375	3.33067e-16	2	0	-2.31164	-2.37586	0.694293	-0.694293	3	1.39007	2	-3	0
-2.34375	4.44089e-16	2	0	-2.33305	-2.35445	0.231431	-0.231431	1	0.463357	2	-2	-1
-1.5625	3.33067e-16	2	0	-1.54109	-1.58391	0.462862	-0.462862	2	0.926714	2	-2	0
-0.78125	1.66533e-16	2	0	-0.770546	-0.791954	0.231431	-0.231431	1	0.463357	2	-1	0
0.78125	-2.08167e-16	2	0	0.791954	0.770546	0.231431	-0.231431	1	0.463357	2	0	1
1.5625	-4.16334e-16	2	0	1.58391	1.54109	0.462862	-0.462862	2	0.926714	2	0	2
2.34375	-5.55112e-16	2	0	2.37586	2.31164	0.694293	-0.694293	3	1.39007	2	0	3
2.34375	-6.10623e-16	2	0	2.35445	2.33305	0.231431	-0.231431	1	0.463357	2	1	2
-1.04167	1.4803e-16	3	0	-0.972601	-1.13114	0.266184	-0.312288	1	0.580515	2	-1	0
-0.520833	3.70074e-17	3	0	-0.43136	-0.589899	0.312288	-0.266184	1	0.580515	2	-1	0
0.520833	-5.55112e-17	3	0	0.589899	0.43136	0.266184	-0.312288	1	0.580515	2	0	1
1.04167	3.70074e-17	3	0	1.13114	0.972601	0.312288	-0.266184	1	0.580515	2	0	1
-1.5625	-4.02456e-16	4	0	-1.39322	-1.75318	0.61855	-0.316378	2	0.940294	3	-2	0
-1.17187	-2.77556e-17	4	0	-1.06881	-1.30705	0.58318	-0.498232	2	1.08518	3	-2	0
-1.17187	7.49401e-16	4	0	-1.0474	-1.28564	0.266801	-0.351748	1	0.622382	2	-1	0
-0.390625	2.35922e-16	4	0	-0.276856	-0.515098	0.351748	-0.266801	1	0.622382	2	-1	0
0.390625	-1.38778e-16	4	0	0.515098	0.276856	0.266801	-0.351748	1	0.622382	2	0	1
1.17187	-8.60423e-16	4	0	1.30705	1.06881	0.498232	-0.58318	2	1.08518	3	0	2
1.17187	-7.21645e-16	4	0	1.28564	1.0474	0.351748	-0.266801	1	0.622382	2	0	1
1.5625	-6.52256e-16	4	0	1.75318	1.39322	0.316378	-0.61855	2	0.940294	3	0	2
-1.875	2.17604e-15	5	0	-1.76641	-1.955	0.494737	-0.558379	2	1.05607	3	-2	0
-1.25	2.28706e-15	5	0	-1.17	-1.35859	0.558379	-0.494737	2	1.05607	3	-2	0
-0.9375	1.18794e-15	5	0	-0.687359	-1.16587	0.69839	-0.447027	2	1.15832	3	-2	0
-1.25	1.44329e-15	5	0	-1.07986	-1.36978	0.261698	-0.37305	1	0.640056	2	-1	0
-0.625	1.75415e-15	5	0	-0.486764	-0.686549	0.32534	-0.309408	1	0.542563	2	-1	0
0.625	-4.55191e-16	5	0	0.686549	0.486764	0.309408	-0.32534	1	0.542563	2	0	1
0.9375	-1.08802e-15	5	0	1.16587	0.687359	0.447027	-0.69839	2	1.15832	3	0	2
1.25	-1.34337e-15	5	0	1.35859	1.17	0.494737	-0.558379	2	1.05607	3	0	2
1.25	-1.84297e-15	5	0	1.36978	1.07986	0.37305	-0.261698	1	0.640056	2	0	1
1.875	-2.53131e-15	5	0	1.955	1.76641	0.558379	-0.494737	2	1.05607	3	0	2
-1.82292	-5.55112e-16	6	0	-1.74315	-1.92309	0.497615	-0.543719	2	1.04369	3	-2	0
-1.5625	2.38698e-15	6	0	-1.32475	-1.73705	0.39929	-0.570287	2	0.97026	3	-2	0
-1.30208	3.38618e-15	6	0	-1.20191	-1.38185	0.543719	-0.497615	2	1.04369	3	-2	0
-1.04167	-1.04546e-15	6	0	-0.893393	-1.25901	0.616391	-0.488516	2	1.11055	3	-2	0
-1.04167	2.43324e-15	6	0	-0.756262	-1.21722	0.688149	-0.424944	2	1.127	3	-2	0
-1.30208	1.44329e-15	6	0	-1.09545	-1.43965	0.257085	-0.38496	1	0.648384	2	-1	0
1.04167	-9.99201e-16	6	0	1.21722	0.756262	0.424944	-0.688149	2	1.127	3	0	2
1.04167	-2.56276e-15	6	0	1.25901	0.893393	0.488516	-0.616391	2	1.11055	3	0	2
1.30208	-1.98915e-15	6	0	1.38185	1.20191	0.497615	-0.543719	2	1.04369	3	0	2
1.30208	-1.18424e-15	6	0	1.43965	1.09545	0.38496	-0.257085	1	0.648384	2	0	1
1.5625	-1.70234e-15	6	0	1.73705	1.32475	0.570287	-0.39929	2	0.97026	3	0	2
1.82292	-1.5173e-15	6	0	1.92309	1.74315	0.543719	-0.497615	2	1.04369	3	0	2
-1.78571	1.58127e-14	7	0	-1.67477	-1.92947	0.545101	-0.582947	2	1.01544	3	-2	0
-1.78571	3.00553e-14	7	0	-1.70391	-1.91175	0.500792	-0.535156	2	1.03794	3	-2	0
-1.5625	7.39091e-15	7	0	-1.35031	-1.81394	0.58074	-0.39033	2	0.972138	3	-2	0
-1.33929	3.7589e-15	7	0	-1.19553	-1.45023	0.582947	-0.545101	2	1.01544	3	-2	0
-1.33929	4.88498e-15	7	0	-1.21325	-1.42109	0.535156	-0.500792	2	1.03794	3	-2	0
-1.11607	-4.01266e-15	7	0	-0.951945	-1.29545	0.615105	-0.465152	2	1.08703	3	-2	0
-1.11607	3.40997e-15	7	0	-0.793456	-1.28294	0.679983	-0.454382	2	1.1145	3	-2	0
-1.33929	4.80568e-15	7	0	-1.10346	-1.47805	0.253908	-0.391711	1	0.652618	2	-1	0
-0.669643	5.79695e-15	7	0	-0.500529	-0.751964	0.323912	-0.321706	1	0.533676	2	-1	0
